iter	MultiClass
0	1.032988932
1	0.9752931782
2	0.9313139654
3	0.8937284919
4	0.8580028577
5	0.8307320781
6	0.8037623453
7	0.7833545888
8	0.7657241043
9	0.748014463
10	0.7321656774
11	0.7173899735
12	0.7050222194
13	0.6953617315
14	0.6832372889
15	0.6749483201
16	0.6681799604
17	0.6595661101
18	0.6523196407
19	0.645407224
20	0.6387347408
21	0.6328469614
22	0.6265684626
23	0.6202000021
24	0.6150622269
25	0.6098699759
26	0.6057311705
27	0.6013741248
28	0.5973832464
29	0.5933232251
30	0.5887266555
31	0.5849603899
32	0.5824996406
33	0.5796762341
34	0.5760712705
35	0.5733248578
36	0.5706556345
37	0.5691286646
38	0.566578899
39	0.5638504738
40	0.5615852312
41	0.5601058576
42	0.5586035663
43	0.5560012089
44	0.555356888
45	0.5526966292
46	0.5511448871
47	0.5496086342
48	0.5488569277
49	0.5469826069
50	0.5456156934
51	0.5440898048
52	0.5422002053
53	0.5400807466
54	0.5384034796
55	0.5363709688
56	0.5345091775
57	0.5330097442
58	0.5315431274
59	0.5304079666
60	0.5289510211
61	0.5275759798
62	0.5259855747
63	0.5240449141
64	0.5226835599
65	0.5220255585
66	0.5205576194
67	0.5186032511
68	0.5178423696
69	0.5166871296
70	0.5157739927
71	0.5147581916
72	0.5133913032
73	0.5115815022
74	0.5107069013
75	0.5095610767
76	0.508397297
77	0.5077855143
78	0.5071013426
79	0.506362927
80	0.5056616915
81	0.5048383759
82	0.5037206883
83	0.5029470785
84	0.5018144307
85	0.5004778984
86	0.500043318
87	0.4990242671
88	0.4982042617
89	0.4961582334
90	0.4947521494
91	0.4933359583
92	0.4931302252
93	0.4916772621
94	0.4910276367
95	0.4900487072
96	0.488066634
97	0.4870826809
98	0.486267197
99	0.4845344214
100	0.4836458149
101	0.4828822256
102	0.4819488922
103	0.4806509381
104	0.4798568576
105	0.4793495509
106	0.4781389938
107	0.4768350315
108	0.4758150488
109	0.4747945907
110	0.4741864793
111	0.472659205
112	0.4719496015
113	0.471226828
114	0.4704426373
115	0.4697846886
116	0.4684561187
117	0.4673408321
118	0.4663108354
119	0.4653958727
120	0.4646069594
121	0.4639896715
122	0.4630180697
123	0.4621238316
124	0.4611587383
125	0.4592510906
126	0.4588080367
127	0.457595326
128	0.4567364357
129	0.4556686853
130	0.4547378459
131	0.4539706912
132	0.4530657962
133	0.4518075756
134	0.4511855514
135	0.449914632
136	0.4489830764
137	0.4479898757
138	0.4470600326
139	0.4460455423
140	0.4453882048
141	0.4448666812
142	0.4440783311
143	0.4429616217
144	0.4419117504
145	0.4415943846
146	0.4410338213
147	0.4405991614
148	0.4402717321
149	0.4393339787
150	0.4385777416
151	0.4382374406
152	0.4373258672
153	0.4367930207
154	0.4362043373
155	0.4354027785
156	0.4345899029
157	0.4338218251
158	0.4325577749
159	0.4317840448
160	0.4306921545
161	0.4300015112
162	0.4290512819
163	0.4280704643
164	0.4269604884
165	0.4259863165
166	0.4246648848
167	0.4238722734
168	0.422960144
169	0.4221044193
170	0.4213111353
171	0.4204020346
172	0.4197768044
173	0.419195368
174	0.4185611019
175	0.4179222951
176	0.4174960616
177	0.4171122003
178	0.4162859554
179	0.4159042396
180	0.414854768
181	0.4141843135
182	0.4137935041
183	0.4132545467
184	0.4121990481
185	0.4115686621
186	0.4112357324
187	0.4109124624
188	0.409784329
189	0.4093285928
190	0.4089130934
191	0.4084121322
192	0.407995582
193	0.4070903554
194	0.4061505886
195	0.4057529814
196	0.4055747761
197	0.4049305498
198	0.4040773936
199	0.4030191725
200	0.4025548395
201	0.4016423967
202	0.4009506711
203	0.4003819196
204	0.3999445376
205	0.3992868504
206	0.3982907743
207	0.3975284583
208	0.396462309
209	0.3956349403
210	0.3942587836
211	0.3936479183
212	0.3932015576
213	0.3924606839
214	0.3921101167
215	0.3917796281
216	0.3912837499
217	0.3902579817
218	0.388462611
219	0.3876240153
220	0.3871629428
221	0.3867342242
222	0.3855758375
223	0.3847268455
224	0.384002649
225	0.3835937124
226	0.3831686503
227	0.3818782447
228	0.3811637992
229	0.3804601307
230	0.3800155241
231	0.3790974211
232	0.3784164761
233	0.3773455928
234	0.3766041135
235	0.3763972524
236	0.3756240415
237	0.3752321949
238	0.3748155452
239	0.3743537639
240	0.3736674613
241	0.3731757624
242	0.3726018561
243	0.3723551751
244	0.3717183181
245	0.3713392259
246	0.3709697264
247	0.3707305988
248	0.3701176609
249	0.3695957675
250	0.3687472392
251	0.3680618834
252	0.3677067307
253	0.3669696457
254	0.3662605914
255	0.3650289179
256	0.3645469426
257	0.3642142227
258	0.3636194466
259	0.3632049596
260	0.3628822449
261	0.3623524886
262	0.361803885
263	0.3609000283
264	0.3603278982
265	0.3597054677
266	0.35904722
267	0.3582564847
268	0.3575940844
269	0.3572957507
270	0.3568771022
271	0.3564470005
272	0.3560786469
273	0.3552161787
274	0.3549915706
275	0.3547649835
276	0.3540795594
277	0.3536561552
278	0.353061827
279	0.3520093666
280	0.3517038262
281	0.3508982401
282	0.3505685453
283	0.3495258094
284	0.3491640952
285	0.3484648877
286	0.3479554168
287	0.3473148189
288	0.3469033966
289	0.3464246907
290	0.3457706258
291	0.344881013
292	0.3447145492
293	0.3442888295
294	0.3434610651
295	0.3431980456
296	0.3429107516
297	0.3422721242
298	0.3418751258
299	0.3410435058
300	0.3407702233
301	0.34008446
302	0.3393534708
303	0.339188308
304	0.338836497
305	0.3380937822
306	0.3379238708
307	0.3377695044
308	0.3373256681
309	0.3369121727
310	0.336292214
311	0.3357931928
312	0.335282797
313	0.3349083288
314	0.3345647146
315	0.334271716
316	0.3337404998
317	0.3328619941
318	0.332281155
319	0.3315625685
320	0.3312978688
321	0.3310376262
322	0.3306747937
323	0.3299751405
324	0.3296190159
325	0.329078636
326	0.3283585087
327	0.3281053482
328	0.3275801308
329	0.3269066331
330	0.3263253027
331	0.325613364
332	0.3252711531
