iter	Passed	Remaining
0	55	55876
1	82	41337
2	110	36595
3	141	35112
4	165	32921
5	196	32628
6	220	31267
7	268	33253
8	292	32178
9	327	32382
10	351	31627
11	381	31372
12	404	30745
13	462	32566
14	500	32868
15	522	32153
16	547	31636
17	584	31864
18	605	31283
19	626	30692
20	647	30192
21	670	29815
22	690	29313
23	706	28725
24	720	28097
25	739	27693
26	752	27124
27	774	26886
28	793	26571
29	812	26273
30	832	26024
31	847	25649
32	874	25638
33	888	25248
34	920	25370
35	952	25500
36	1011	26337
37	1088	27566
38	1118	27565
39	1149	27587
40	1175	27502
41	1193	27226
42	1215	27047
43	1239	26924
44	1259	26732
45	1280	26556
46	1298	26321
47	1318	26149
48	1336	25931
49	1373	26104
50	1400	26067
51	1427	26016
52	1450	25920
53	1481	25955
54	1503	25829
55	1527	25742
56	1615	26731
57	1665	27054
58	1688	26930
59	1700	26645
60	1711	26339
61	1721	26046
62	1732	25769
63	1742	25477
64	1756	25265
65	1821	25775
66	1853	25811
67	1872	25670
68	1888	25479
69	1904	25306
70	1920	25127
71	1937	24976
72	1958	24870
73	1979	24772
74	1992	24570
75	2006	24388
76	2027	24299
77	2039	24109
78	2054	23952
79	2067	23772
80	2086	23673
81	2105	23566
82	2120	23428
83	2133	23264
84	2146	23108
85	2158	22936
86	2171	22784
87	2187	22673
88	2200	22524
89	2216	22409
90	2231	22288
91	2244	22152
92	2254	21983
93	2264	21830
94	2276	21691
95	2287	21540
96	2297	21388
97	2309	21259
98	2320	21121
99	2341	21073
100	2352	20935
101	2374	20906
102	2395	20863
103	2410	20765
104	2427	20688
105	2442	20602
106	2459	20527
107	2474	20441
108	2490	20360
109	2503	20259
110	2521	20194
111	2532	20075
112	2545	19979
113	2558	19885
114	2569	19771
115	2578	19651
116	2589	19545
117	2602	19454
118	2618	19386
119	2630	19287
120	2643	19199
121	2654	19104
122	2668	19028
123	2678	18925
124	2689	18828
125	2702	18742
126	2711	18642
127	2723	18556
128	2735	18471
129	2748	18391
130	2759	18307
131	2772	18230
132	2784	18149
133	2798	18083
134	2809	17999
135	2822	17933
136	2835	17859
137	2849	17797
138	2865	17748
139	2879	17688
140	2889	17603
141	2902	17539
142	2913	17463
143	2923	17379
144	2936	17314
145	2949	17250
146	2962	17187
147	2972	17113
148	2984	17046
149	2995	16977
150	3009	16918
151	3019	16845
152	3032	16788
153	3047	16742
154	3059	16679
155	3069	16606
156	3082	16552
157	3094	16490
158	3104	16421
159	3116	16361
160	3128	16305
161	3138	16235
162	3150	16175
163	3161	16115
164	3172	16055
165	3184	15999
166	3198	15954
167	3217	15933
168	3229	15879
169	3241	15828
170	3251	15765
171	3265	15720
172	3285	15707
173	3297	15652
174	3316	15636
175	3330	15591
176	3341	15537
177	3352	15480
178	3365	15436
179	3376	15383
180	3389	15335
181	3399	15278
182	3410	15224
183	3425	15190
184	3436	15139
185	3446	15081
186	3458	15035
187	3468	14980
188	3478	14924
189	3490	14882
190	3502	14834
191	3512	14782
192	3527	14750
193	3542	14717
194	3568	14731
195	3587	14716
196	3606	14701
197	3634	14723
198	3655	14712
199	3671	14686
200	3690	14669
201	3714	14673
202	3723	14619
203	3735	14576
204	3746	14530
205	3757	14481
206	3769	14441
207	3781	14397
208	3791	14350
209	3804	14310
210	3818	14278
211	3835	14255
212	3847	14215
213	3858	14171
214	3871	14133
215	3882	14091
216	3892	14044
217	3904	14005
218	3919	13978
219	3932	13943
220	3943	13901
221	3953	13854
222	3965	13818
223	3977	13779
224	3988	13737
225	3999	13698
226	4011	13660
227	4025	13629
228	4035	13586
229	4047	13549
230	4057	13507
231	4067	13464
232	4080	13432
233	4092	13395
234	4105	13363
235	4115	13322
236	4125	13281
237	4135	13239
238	4146	13201
239	4156	13163
240	4167	13123
241	4179	13089
